id,topic_id,question_text,difficulty,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation
1,3_5,What does it mean for a sentence in FOL to be a validity?,Medium,It is true in at least one interpretation.,It is true in exactly one interpretation.,It is true in every interpretation.,It is true in no interpretation.,It is true in every interpretation.,"A sentence is a validity in FOL if it is true in every interpretation, meaning it holds universally regardless of how the domain and predicates are interpreted."
2,3_5,How can we show that a sentence is not a validity in FOL?,Easy,By showing it is true in all interpretations.,By showing it is false in all interpretations.,By finding at least one interpretation where it is false.,By showing it is equivalent to a tautology in TFL.,By finding at least one interpretation where it is false.,"To show a sentence is not a validity, it suffices to find at least one interpretation where the sentence is false."
3,3_5,What is the relationship between entailment and validity in FOL?,Hard,A set of sentences entails another sentence if they are jointly satisfiable.,A set of sentences entails another sentence if it is a contradiction.,A set of sentences entails another sentence if the conclusion is true in all interpretations.,A set of sentences entails another sentence if the conclusion is true in every interpretation where the premises are true.,A set of sentences entails another sentence if the conclusion is true in every interpretation where the premises are true.,Entailment means that the conclusion must be true in every interpretation where the premises are true.
4,3_5,Which of the following statements about logical equivalence in FOL is true?,Medium,Two sentences are logically equivalent if they are both valid.,Two sentences are logically equivalent if they are both contradictions.,Two sentences are logically equivalent if they have the same truth value in every interpretation.,Two sentences are logically equivalent if they have different truth values in at least one interpretation.,Two sentences are logically equivalent if they have the same truth value in every interpretation.,Two sentences are logically equivalent if they have the same truth value in every interpretation.
5,3_5,"In FOL, what does it mean for a set of sentences to be jointly satisfiable?",Easy,There is at least one interpretation where all the sentences are true.,There is no interpretation where all the sentences are true.,There is exactly one interpretation where all the sentences are true.,All interpretations make at least one sentence false.,There is at least one interpretation where all the sentences are true.,A set of sentences is jointly satisfiable if there exists at least one interpretation in which all the sentences are true simultaneously.
6,3_5,How can you show that two sentences in FOL are not logically equivalent?,Medium,By finding an interpretation where both sentences are true.,By finding an interpretation where one sentence is true and the other is false.,By showing that both sentences are contradictions.,By showing that both sentences are valid.,By finding an interpretation where one sentence is true and the other is false.,"To show two sentences are not logically equivalent, you must find an interpretation where one sentence is true and the other is false."
7,3_5,What is a counter-interpretation in FOL?,Medium,An interpretation that makes a sentence true in every interpretation.,An interpretation that makes a sentence false in every interpretation.,An interpretation that makes the premises true and the conclusion false.,An interpretation that makes all sentences in a set true.,An interpretation that makes the premises true and the conclusion false.,"A counter-interpretation makes the premises of an argument true and the conclusion false, demonstrating the invalidity of the argument."
8,3_5,"What does the sentence '∀x∃y R(y,x)' mean in terms of interpretations?",Hard,"For every x, there exists a y such that R(y,x) is false.","For every x, there exists a y such that R(y,x) is true.","There exists an x and y such that R(y,x) is true.","There exists an x for every y such that R(y,x) is false.","For every x, there exists a y such that R(y,x) is true.","∀x∃y R(y,x)' means that for every element x in the domain, there exists at least one element y in the domain such that the relation R(y,x) holds true."
9,3_5,Which of the following is necessary to demonstrate that a sentence is a contradiction in FOL?,Medium,Show it is false in at least one interpretation.,Show it is true in at least one interpretation.,Show it is false in every interpretation.,Show it is true in every interpretation.,Show it is false in every interpretation.,"A sentence is a contradiction if it is false in every interpretation, meaning no interpretation makes the sentence true."
10,3_5,How can you demonstrate that a sentence in FOL is satisfiable?,Easy,By showing it is true in some interpretation.,By showing it is false in all interpretations.,By showing it is true in all interpretations.,By showing it is false in at least one interpretation.,By showing it is true in some interpretation.,A sentence is satisfiable if there exists at least one interpretation in which the sentence is true.
11,3_5,What is meant by the domain of an interpretation in FOL?,Easy,The set of all predicates used in the interpretation.,The set of all names used in the interpretation.,The collection of objects that the quantifiers range over.,The collection of all possible truth values.,The collection of objects that the quantifiers range over.,The domain of an interpretation is the collection of objects that the quantifiers range over.
12,3_5,"In FOL, how do we interpret a predicate symbol?",Medium,By assigning it a specific truth value.,By specifying the objects it is true of within the domain.,By assigning it to a particular quantifier.,By defining it as equivalent to another predicate.,By specifying the objects it is true of within the domain.,A predicate symbol in FOL is interpreted by specifying the objects it is true of within the domain.
13,3_5,Which of the following is true for an atomic sentence 'P(a)' in an interpretation?,Easy,It is true if 'P' is true for all objects in the domain.,It is true if 'P' is true for no objects in the domain.,It is true if 'P' is true for the object named by 'a' in the domain.,It is false if 'P' is true for the object named by 'a' in the domain.,It is true if 'P' is true for the object named by 'a' in the domain.,An atomic sentence 'P(a)' is true in an interpretation if the predicate 'P' is true for the object named by 'a' in the domain.
14,3_5,What does it mean for a predicate to have an empty extension in an interpretation?,Medium,It applies to all objects in the domain.,It applies to no objects in the domain.,It applies to exactly one object in the domain.,It applies to some but not all objects in the domain.,It applies to no objects in the domain.,A predicate has an empty extension in an interpretation if it applies to no objects in the domain.
15,3_5,How do we determine if two sentences are logically equivalent in FOL?,Hard,By checking if they have the same truth value in at least one interpretation.,By checking if they have opposite truth values in every interpretation.,By checking if they have the same truth value in every interpretation.,By checking if one is a tautology and the other is a contradiction.,By checking if they have the same truth value in every interpretation.,Two sentences are logically equivalent in FOL if they have the same truth value in every interpretation.
16,3_5,What is the significance of a counterexample in FOL?,Medium,It shows that a sentence is a tautology.,It shows that a sentence is not a tautology.,It shows that a sentence is a contradiction.,It shows that a sentence is not a contradiction.,It shows that a sentence is not a tautology.,A counterexample in FOL shows that a sentence is not a tautology by providing an interpretation where the sentence is false.
17,3_5,Which of the following best describes the concept of satisfiability in FOL?,Easy,A sentence is satisfiable if it is true in at least one interpretation.,A sentence is satisfiable if it is true in no interpretation.,A sentence is satisfiable if it is true in every interpretation.,A sentence is satisfiable if it is equivalent to a tautology.,A sentence is satisfiable if it is true in at least one interpretation.,A sentence is satisfiable in FOL if it is true in at least one interpretation.
18,3_5,How can we demonstrate that two sentences are not logically equivalent?,Medium,By showing that both are true in at least one interpretation.,By finding an interpretation where both are false.,By finding an interpretation where one is true and the other is false.,By showing that both are contradictions.,By finding an interpretation where one is true and the other is false.,"To demonstrate that two sentences are not logically equivalent, we must find an interpretation where one is true and the other is false."
19,3_5,What role does the concept of entailment play in FOL?,Hard,It helps in determining the satisfiability of individual sentences.,It helps in determining the logical equivalence of sentences.,It helps in determining if the conclusion follows necessarily from the premises.,It helps in determining the truth value of atomic sentences.,It helps in determining if the conclusion follows necessarily from the premises.,Entailment in FOL helps determine if the conclusion follows necessarily from the premises; it is a fundamental concept in logical reasoning.
20,3_5,Which of the following sentences is a validity?,Medium,∀x (P(x) ∨ ¬P(x)),∃x (P(x) ∧ ¬P(x)),∀x (P(x) ∧ ¬P(x)),∃x (P(x) ∨ ¬P(x)),∀x (P(x) ∨ ¬P(x)),The sentence ∀x (P(x) ∨ ¬P(x)) is a validity because it is true in every interpretation; it is an example of a tautology in FOL.
